OrderID,Date,Category,Region,UnitsSold,UnitPrice,Discount,CustomerRating,Revenue
ORD-1000,2025-01-01,Books,North,23,499.0,0.15,5.0,9755.449999999999
ORD-1001,2025-01-02,Beauty,West,5,49.99,0.15,4.0,212.4575
ORD-1002,2025-01-03,Home & Kitchen,North,12,250.5,0.25,4.0,2254.5
ORD-1003,2025-01-04,Beauty,North,17,49.99,0.25,4.0,637.3725000000001
ORD-1004,2025-01-05,Beauty,South,23,499.0,0.05,4.0,10903.15
ORD-1005,2025-01-06,Clothing,North,13,12.5,0.0,5.0,162.5
ORD-1006,2025-01-07,Home & Kitchen,East,23,499.0,0.15,4.0,9755.449999999999
ORD-1007,2025-01-08,Home & Kitchen,East,3,12.5,0.05,4.0,35.625
ORD-1008,2025-01-09,Home & Kitchen,West,9,15.99,0.0,5.0,143.91
ORD-1009,2025-01-10,Beauty,North,17,499.0,0.1,4.0,7634.7
ORD-1010,2025-01-11,Books,West,17,15.99,0.25,4.0,203.8725
ORD-1011,2025-01-12,Home & Kitchen,East,20,250.5,0.0,5.0,5010.0
ORD-1012,2025-01-13,Beauty,North,16,49.99,0.1,4.0,719.856
ORD-1013,2025-01-14,Clothing,North,22,12.5,0.0,4.0,275.0
ORD-1014,2025-01-15,Books,West,13,49.99,0.25,,487.40250000000003
ORD-1015,2025-01-16,Clothing,East,19,15.99,0.25,1.0,227.85750000000002
ORD-1016,2025-01-17,Books,North,17,12.5,0.05,3.0,201.875
ORD-1017,2025-01-18,Beauty,West,4,49.99,0.15,4.0,169.966
ORD-1018,2025-01-19,Electronics,East,12,499.0,0.0,5.0,5988.0
ORD-1019,2025-01-20,Books,West,9,120.0,0.0,2.0,1080.0
ORD-1020,2025-01-21,Clothing,South,19,15.99,0.1,1.0,273.42900000000003
ORD-1021,2025-01-22,Beauty,North,12,49.99,0.25,2.0,449.90999999999997
ORD-1022,2025-01-23,Books,South,9,15.99,0.0,2.0,143.91
ORD-1023,2025-01-24,Electronics,East,7,15.99,0.25,1.0,83.9475
ORD-1024,2025-01-25,Electronics,South,14,12.5,0.0,4.0,175.0
